date,body feeling,feeling,energy level,todays headline,grateful for,walk,journal,keto,if,exercise,jump,mediation,mg,alcohol,headache,latesleep,interrupted sleep(tothinight)
2021-10-03,happy,,,,,1,1,0,0,0,0,0,0,1,0,0,0
2021-10-04,"vaccinated, happy, studies for da-100",,,,,1,0,0,0,0,0,0,0,0,0,0,0
2021-10-05,"slight headache, leaning for DA-100",,,,,1,0,0,0,0,0,0,1,0,1,0,0
2021-10-06,determinate,,,,,1,1,0,0,0,0,0,1,0,0,0,0
2021-10-07,"drowsy, sleepy",,,,,1,1,0,0,0,0,0,1,0,0,1,0
2021-10-08,happy,,,,,1,1,0,0,0,0,0,0,0,0,0,0
2021-10-09,MrA moody,,,,,1,1,0,0,0,0,0,1,0,1,0,0
2021-10-10,ok,,,,,0,1,0,0,0,0,0,0,0,0,0,0
2021-10-11,ok,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-12,"botanical garden, determinate, no study",,,,,1,1,0,0,0,0,0,0,0,0,0,0
2021-10-13,"maid, Netflix stopped on 8th episode, that would be an epic ending. determinate",,,,,0,1,0,0,0,0,0,0,0,0,0,0
2021-10-14,normal,,,,,1,1,0,0,0,0,0,0,0,0,0,0
2021-10-15,"Rewriting main, finished chestnut man, coding, determinate",,,,,1,0,0,0,0,0,0,0,0,0,0,0
2021-10-16,"Bi meeting, slight headache",,,,,0,1,0,0,0,0,0,0,1,1,0,0
2021-10-17,ok,,,,,0,1,0,0,0,0,0,1,0,1,1,0
2021-10-18,fasting,,,,,1,1,0,0,0,0,0,0,0,0,0,0
2021-10-19,"failing at fasting, sluggish",,,,,1,0,0,0,0,0,0,0,1,0,0,0
2021-10-20,ok,,,,,1,0,0,1,0,0,0,0,0,0,0,0
2021-10-21,"excellent, Bi done by 2PM, maybe because it is paginated report",,,,,0,0,0,1,0,0,0,1,1,0,0,0
2021-10-22,slow,,,,,1,0,0,0,0,0,0,1,0,0,0,0
2021-10-23,"dentist, scream & shout",,,,,1,0,0,1,0,0,0,1,0,0,0,0
2021-10-24,ok,,,,,0,1,0,0,0,0,0,0,1,0,0,0
2021-10-25,chill,,,,,0,0,1,1,0,0,0,0,0,0,0,0
2021-10-26,ok,,,,,1,0,1,1,0,0,0,0,0,0,0,0
2021-10-27,ok,,,,,0,0,1,0,0,0,0,0,0,0,0,0
2021-10-28,"keto, headache",,,,,1,0,1,1,0,0,0,0,0,1,0,0
2021-10-29,ok,,,,,1,0,1,1,0,0,0,0,0,1,0,0
2021-10-30,"parasite, whiskey coke, happy, chill",,,,,1,1,1,1,0,0,0,0,1,0,0,0
2021-10-31,"determinate, chill",,,,,0,1,1,1,0,0,0,1,1,0,0,0
2021-11-01,"calm, hungry",,,,,1,1,1,1,0,0,0,0,0,0,0,0
2021-11-02,"calm, fasting, sore neck",,,,,1,1,1,1,1,0,0,0,0,1,0,1
2021-11-03,"calm, accomplished, slightly tired",,,,,1,1,1,1,1,0,0,0,0,1,0,1
2021-11-04,"slow, hungry",,,,,1,1,1,1,1,0,0,0,0,1,0,1
2021-11-05,slight hunger,"calm, accomplished",normal,100 kettlebells straight in 5 day fast,mr Amazing patience in keeping up fixing my norwegian,1,1,1,1,1,0,0,0,0,0,0,1
2021-11-06,sluggish after breaking the fast,calm,low,cauliflower soup with meatballs,amazing body,1,1,1,1,0,0,0,0,0,0,0,1
2021-11-07,pimple on the shoulder,accomplished,normal,Amarilda. The biography.,coffee in the bed,0,1,1,1,0,0,0,0,0,0,0,1
2021-11-08,picking skin,"anxious, relaxed, taking slow",moderately low,Got sucked into reading novella,for previously hard choices made,1,1,1,1,1,0,0,0,0,0,0,0
2021-11-09,low hunger,chill,normal,Depriving from sleep while reading about a girl who sleeps 70% of her day,morning walks in the rain,1,1,1,1,0,0,0,0,0,0,0,0
2021-11-10,migrane,migrane,low,"migrane, ate noodles, could sleep",spare noodles in the cuppobord,1,0,1,1,0,0,0,0,0,1,0,0
